unregenerate	9.12	10.15	unregenerate	10.96	12.05
unrepentant	13.60	14.53	unrepentant	15.28	17.95
unscrupulousness	19.62	21.25	unscrupulousness	22.06	23.93
unsettle	25.66	26.45	unsettle	27.26	29.25
unsettling	30.88	31.83	unsettling	32.56	34.87
unthreatening	36.58	37.55	unthreatening	38.28	39.39
upbraid	41.04	41.93	upbraid	42.72	44.27
upfront	45.90	46.69	upfront	47.44	48.41
upheaval	50.12	50.97	upheaval	51.80	53.35
upright	54.92	55.63	upright	56.38	60.23
uproar	61.80	62.57	uproar	63.42	67.21
uproarious	68.72	69.83	uproarious	70.66	75.07
upsurge	75.54	76.51	upsurge	76.96	78.58
upswing	80.36	81.17	upswing	81.98	85.65
utopia	87.20	88.09	utopia	88.82	89.73
utter	91.38	91.85	utter	92.56	95.43
vacuous	97.10	97.97	vacuous	98.74	100.59
vagary	102.32	103.07	vagary	103.90	106.21
vagrancy	107.86	108.79	vagrancy	109.54	111.13
vagrant	112.72	113.53	vagrant	114.34	118.55
vague	120.12	120.83	vague	121.72	124.99
vain	126.66	127.39	vain	128.12	130.45
valediction	132.14	133.09	valediction	133.90	136.21
valedictory	137.88	138.97	valedictory	139.76	141.83
vandalism	143.40	144.29	vandalism	145.20	146.37
vandalize	147.98	148.93	vandalize	149.82	151.09
vanilla	152.82	153.49	vanilla	154.24	156.71
vanquish	158.32	159.17	vanquish	159.98	161.65
vantage	163.32	164.17	vantage	164.92	167.09
vapid	168.62	169.37	vapid	170.26	173.07
vaporize	174.66	175.65	vaporize	176.52	177.23
vaporous	178.78	179.75	vaporous	180.54	182.93
variance	184.54	185.45	variance	186.26	189.59
variegate	191.18	192.17	variegate	192.90	196.21
vault	197.86	198.55	vault	199.38	201.01
vaunting	202.70	203.43	vaunting	204.32	206.23
vegetate	207.94	208.77	vegetate	209.54	213.72
velocity	215.36	216.21	velocity	217.00	220.57
velvety	222.14	222.91	velvety	223.74	229.24
vendetta	230.82	231.61	vendetta	232.40	236.37
vegeance	237.96	238.83	vegeance	239.64	241.19
vengeful	242.96	243.77	vengeful	244.50	247.47
venom	249.12	249.75	venom	250.62	253.81
ventilate	255.46	256.31	ventilate	257.18	258.17
ventriloquist	259.96	261.17	ventriloquist	262.02	265.29
verbal	266.86	267.47	verbal	268.36	270.25
verbatim	271.90	272.69	verbatim	273.58	275.93
verbiage	277.64	278.61	verbiage	279.46	281.09
verboten	282.86	283.71	verboten	284.66	286.55
verdict	288.18	288.97	verdict	289.90	291.77
verdure	293.48	294.19	verdure	295.04	298.65
verge	300.32	301.13	verge	301.90	302.69
verisimilar	304.42	305.37	verisimilar	306.28	309.99
veritable	311.56	312.35	veritable	313.16	317.15
vernal	318.78	319.41	vernal	320.30	324.01
versant	325.68	326.47	versant	327.30	330.57
versatile	332.20	332.95	versatile	333.74	336.47
vertex	338.12	339.01	vertex	339.82	342.47
vertical	344.08	344.79	vertical	345.60	347.39
vertigo	349.00	349.75	vertigo	350.56	353.07
verve	354.76	355.49	verve	356.28	359.07
vest	360.64	361.45	vest	362.24	363.95
vestment	365.52	366.41	vestment	367.26	371.03
veto	372.66	373.43	veto	374.26	377.35
vibrancy	378.96	379.91	vibrancy	380.64	382.77
vibrate	384.46	385.29	vibrate	386.10	390.17
vicar	391.90	392.51	vicar	393.32	394.57
vicarious	396.24	397.31	vicarious	398.14	399.91
vicinity	401.46	402.27	vicinity	403.00	404.81
vicissitudinous	406.44	407.73	vicissitudinous	408.52	410.83
victimize	412.42	413.45	victimize	414.30	416.31
vie	417.90	418.55	vie	419.38	420.07
vile	421.64	422.43	vile	423.16	426.41
vilify	428.10	428.91	vilify	429.72	431.23
villainous	432.90	433.77	villainous	434.50	436.53
vindication	438.10	439.09	vindication	439.88	441.97
vintage	443.70	444.49	vintage	445.34	447.39
violet	449.02	449.83	violet	450.66	453.23
virile	454.84	455.51	virile	456.36	459.07
virility	460.70	461.53	virility	462.32	465.03
virtual	466.68	467.49	virtual	468.20	470.69
virtuosity	472.38	473.39	virtuosity	474.22	475.51
virulent	477.12	477.89	virulent	478.70	480.51
visceral	482.16	482.91	visceral	483.62	486.27
viscid	487.82	488.53	viscid	489.28	490.25
vista	491.84	492.57	vista	493.38	494.95
vitalize	496.60	497.57	vitalize	498.30	500.93
vituperate	502.58	503.63	vituperate	504.40	505.95
vivacious	507.62	508.59	vivacious	509.40	512.79
vocation	514.44	515.35	vocation	516.16	522.19
void	523.78	524.49	void	525.28	531.21
volition	532.90	533.69	volition	534.50	536.43
volley	538.10	538.73	volley	539.54	543.89
voracious	544.57	545.59	voracious	545.81	551.35
voracity	553.00	553.87	voracity	554.68	556.47
votary	557.96	558.67	votary	559.42	562.27
vouch	563.94	564.71	vouch	565.52	567.07
voucher	568.70	569.47	voucher	570.22	574.27
vying	575.90	576.71	vying	577.50	578.41
wacky	579.96	580.69	wacky	581.46	583.69
waddle	585.34	585.99	waddle	586.78	588.39
wade	589.98	590.65	wade	591.48	593.27
wage	594.92	595.69	wage	596.58	598.41
waggish	600.12	601.01	waggish	601.78	603.79
waive	605.40	606.11	waive	606.86	608.75
wallop	610.40	611.09	wallop	611.90	615.96
wallow	616.67	617.44	wallow	617.81	619.91
wan	621.58	622.25	wan	623.04	625.21
wanton	626.94	627.63	wanton	628.46	633.97
warehouse	635.60	636.51	warehouse	637.30	638.91
warranty	640.70	641.51	warranty	642.36	647.29
waspish	648.86	649.75	waspish	650.56	652.95
wastrel	654.64	655.47	wastrel	656.24	657.75
waver	659.38	660.07	waver	660.88	662.69
wax	664.28	665.05	wax	665.92	670.35
waylay	672.00	672.73	waylay	673.58	675.13
wean	676.70	677.41	wean	678.14	680.01
weary	681.72	682.37	weary	683.16	692.12
weird	693.76	694.47	weird	695.36	698.37
weld	700.02	700.75	weld	701.64	704.21
well-groomed	705.88	706.99	well-groomed	707.88	710.85
welsh	712.54	713.27	welsh	714.18	716.51
wend	718.16	718.87	wend	719.66	721.95
wheedle	723.70	724.31	wheedle	725.18	726.91
wheeze	728.52	729.25	wheeze	730.06	733.69
whet	735.20	735.81	whet	736.70	738.33
whiff	740.04	740.69	whiff	741.58	743.37
whim	744.96	745.65	whim	746.46	749.21
whimper	750.88	751.57	whimper	752.42	754.25
whine	755.98	756.73	whine	757.62	759.91
whirlpool	761.58	762.49	whirlpool	763.34	764.19
whisper	765.82	766.57	whisper	767.42	769.09
whistle	770.64	771.33	whistle	772.12	777.07
whit	778.64	779.25	whit	780.06	781.69
wholesome	783.28	784.13	wholesome	784.94	786.31
whoop	787.96	788.49	whoop	789.34	791.03
wicked	792.60	793.25	wicked	794.02	798.63
wield	800.24	800.95	wield	801.84	805.13
wiggle	806.76	807.39	wiggle	808.22	810.01
wigwag	811.70	812.53	wigwag	813.36	815.89
wile	817.54	818.25	wile	819.06	819.77
wily	821.46	822.20	wily	822.41	825.05
wince	826.78	827.57	wince	828.38	830.25
windfall	832.00	832.85	windfall	833.76	838.67
windy	840.22	840.85	windy	841.58	845.41
wink	847.08	847.69	wink	848.50	853.11
winkle	854.70	855.39	winkle	856.20	859.17
winnow	860.88	861.53	winnow	862.24	864.63
wiry	866.24	866.97	wiry	867.82	869.21
wispy	870.84	871.59	wispy	872.34	875.91
wither	877.46	878.11	wither	878.92	880.91
wizened	882.66	883.53	wizened	884.44	887.55
wobble	889.14	889.81	wobble	890.58	893.07
woe	894.64	895.27	woe	896.10	899.43
woo	901.04	901.69	woo	902.50	906.05
worship	907.72	908.41	worship	909.22	911.09
wrath	912.68	913.39	wrath	914.18	916.43
wreak	918.04	918.67	wreak	919.54	922.87
wrench	924.52	925.27	wrench	926.10	930.74
wrest	932.48	933.21	wrest	934.10	939.93
wretched	941.54	942.27	wretched	943.06	946.23
wrist	947.88	948.59	wrist	949.40	951.19
writ	952.86	953.45	writ	954.22	956.69
wroth	958.30	959.03	wroth	959.82	962.53
wrought	964.20	964.81	wrought	965.62	968.93
wry	970.58	971.23	wry	972.06	976.99
yacht	978.64	979.25	yacht	980.16	981.93
yank	983.56	984.25	yank	985.02	986.49
yen	988.04	988.69	yen	989.62	990.39
yielding	991.92	992.79	yielding	993.60	998.35
yowl	999.92	1000.61	yowl	1001.34	1003.29
yummy	1004.94	1005.57	yummy	1006.44	1008.43
zealotry	1010.08	1010.97	zealotry	1011.74	1012.51
zephyr	1014.10	1014.81	zephyr	1015.70	1017.49
zest	1019.10	1019.97	zest	1020.82	1024.15
zesty	1025.78	1026.65	zesty	1027.40	1030.29
zigzag	1031.98	1032.95	zigzag	1033.68	1038.37
zone	1040.04	1040.83	zone	1041.68	1044.06
zoom	1045.58	1046.31	zoom	1047.18	1049.49
