sulky	664.16	664.97	sulky	665.78	666.73
sullen	668.40	669.17	sullen	669.96	670.83
summation	672.38	673.27	summation	674.00	677.73
summon	679.24	679.99	summon	680.72	682.53
sunder	684.14	684.89	sunder	685.64	687.41
sundry	688.98	689.75	sundry	690.52	692.95
superannuated	694.68	695.93	superannuated	696.78	697.69
supererogatory	699.56	701.11	supererogatory	702.00	704.21
superflutiy	705.80	706.89	superflutiy	707.70	708.37
superimpose	710.06	711.27	superimpose	712.04	713.71
superiority	715.22	716.35	superiority	717.12	717.87
superlative	719.48	720.57	superlative	721.32	722.29
supervise	723.92	724.95	supervise	725.78	727.23
supine	728.96	729.85	supine	730.64	732.79
supplicate	734.40	735.35	supplicate	736.20	738.09
supreme	739.72	740.57	supreme	741.42	743.29
surfeit	745.00	745.81	surfeit	746.90	749.93
surge	751.58	752.37	surge	753.18	754.47
surplus	756.12	757.05	surplus	757.82	760.77
suspect	762.48	763.55	suspect	764.28	767.49
suspicion	769.14	770.01	suspicion	770.82	772.57
sustained	774.34	775.29	sustained	776.14	778.25
svelte	779.90	780.69	svelte	781.46	783.03
swagger	784.68	785.45	swagger	786.24	787.83
swallow	789.48	790.27	swallow	791.08	793.45
swamp	795.14	795.89	swamp	796.72	800.35
swank	801.96	802.77	swank	803.50	805.05
swarthy	806.80	807.63	swarthy	808.38	809.29
swathe	810.90	811.77	swathe	812.50	814.55
sway	816.20	816.91	sway	817.72	820.41
swear	822.14	822.87	swear	823.68	824.39
swell	826.06	826.81	swell	827.70	829.43
sweltering	830.98	831.89	sweltering	832.66	833.55
swerve	835.12	835.97	swerve	836.78	838.29
swig	839.90	840.67	swig	841.54	842.37
swill	844.02	844.73	swill	845.52	847.73
swindle	849.40	850.17	swindle	851.06	851.77
swine	853.42	854.29	swine	855.18	855.61
swing	857.26	858.05	swing	858.82	861.61
